name;title;category;tag;hp;attackdamage;attackdamageperlevel
Aatrox;a Darkin penge;Fighter;Fighter,Tank;537,8;60,376;3,2
Ahri;a kilencfarkú róka;Mage;Mage,Assassin;514,4;53,04;3
Akali;az árnyék ökle;Assassin;Assassin;587,8;58,376;3,2
Alistar;a minotaurusz;Tank;Tank,Support;613,36;61,1116;3,62
Amumu;a szomorú múmia;Tank;Tank,Mage;613,12;53,384;3,8
Anivia;a jégfőnix;Mage;Mage,Support;467,6;51,376;3,2
Annie;a sötét gyermek;Mage;Mage;511,68;50,41;2,625
Ashe;a fagyos íjász;Marksman;Marksman,Support;527,72;56,508;2,26
Aurelion Sol;a csillagok kovácsa;Mage;Mage,Fighter;550;57;3,2
Azir;a sivatag császára;Mage;Mage,Marksman;524,4;52;2,8
Bard;a vigyázó vándor;Support;Support,Mage;535;52;3
Blitzcrank;a hatalmas gőzgólem;Tank;Tank,Fighter;582,6;61,54;3,5
Brand;a lángoló bosszú;Mage;Mage;507,68;57,04;3
Braum;Freljord szíve;Support;Support,Tank;576,16;55,376;3,2
Caitlyn;Piltover seriffje;Marksman;Marksman;524,4;53,66;2,18
Camille;az acélhölgy;Fighter;Fighter,Tank;575,6;62;3,5
Cassiopeia;a kígyó ölelése;Mage;Mage;525;53;3
Cho'Gath;az Üresség réme;Tank;Tank,Mage;574,4;61,156;4,2
Corki;a vakmerő tüzér;Marksman;Marksman;512,76;56;3,5
Darius;Noxus keze;Fighter;Fighter,Tank;582,24;56;5
Diana;a Hold bajnoka;Fighter;Fighter,Mage;589,2;53,04;3
Draven;a dicső hóhér;Marksman;Marksman;557,76;55,8;2,91
Dr. Mundo;a zauni őrült;Fighter;Fighter,Tank;582,52;61,27;3
Ekko;a fiú, aki legyőzte az időt;Assassin;Assassin,Fighter;580;55;3
Elise;a pókkirálynő;Mage;Mage,Fighter;529,4;50,54;3
Evelynn;az árnyjáró;Assassin;Assassin,Mage;531,2;53,88;3,5
Ezreal;a tékozló felfedező;Marksman;Marksman,Mage;484,4;55,66;2,41
Fiddlesticks;a végzet hírnöke;Mage;Mage,Support;524,4;48,36;2,625
Fiora;a nagy párbajhős;Fighter;Fighter,Assassin;550;60;3,3
Fizz;az árapály trükkmestere;Assassin;Assassin,Fighter;558,48;58,04;3
Galio;az őrző bánata;Tank;Tank,Mage;577,8;61,97;3,375
Gangplank;a sósvízi veszedelem;Fighter;Fighter;540;56;3
Garen;Demacia ereje;Fighter;Fighter,Tank;616,28;57,88;4,5
Gnar;a hiányzó láncszem;Fighter;Fighter,Tank;540;51;3
Gragas;a csőcselék felbujtója;Fighter;Fighter,Mage;583,52;61,38;3,5
Graves;a törvényen kívüli;Marksman;Marksman;551,12;60,83;2,41
Hecarim;a háború árnyéka;Fighter;Fighter,Tank;580;58;3,2
Heimerdinger;a megbecsült feltaláló;Mage;Mage,Support;476;55,536;2,7
Illaoi;a kraken papnő;Fighter;Fighter,Tank;585,6;60;5
Irelia;a pengék akarata;Fighter;Fighter,Assassin;607,2;61,544;3,3
Ivern;a zöld barát;Support;Support,Mage;580;50;3
Janna;a vihar haragja;Support;Support,Mage;487,04;51,956;2,95
IV. Jarvan;Demacia eszménye;Tank;Tank,Fighter;571,2;55,712;3,4
Jax;a fegyverek nagymestere;Fighter;Fighter,Assassin;592,8;61,97;3,375
Jayce;a holnap védelmezője;Fighter;Fighter,Marksman;571,2;50,38;3,5
Jhin;a virtuóz;Marksman;Marksman,Assassin;540;53;4
Jinx;a nagyágyú;Marksman;Marksman;517,76;58,46;2,41
Kalista;a bosszú lándzsája;Marksman;Marksman;517,76;63;2,9
Karma;a felvilágosult;Mage;Mage,Support;522,44;53,544;3,3
Karthus;a halál énekese;Mage;Mage;516;45,66;3,25
Kassadin;az Üresség vándora;Assassin;Assassin,Mage;564,04;58,852;3,9
Katarina;a baljós tőr;Assassin;Assassin,Mage;590;58;3,2
Kayle;az igazságosztó;Fighter;Fighter,Support;574,24;51;2,8
Kennen;a vihar szíve;Mage;Mage,Marksman;535,72;50,544;3,3
Kha'Zix;az Üresség ragadozója;Assassin;Assassin,Fighter;572,8;55,21;3,1
Kindred;az örökkévalóság vadászai;Marksman;Marksman;540;54;1,7
Kled;a zsémbes lovag;Fighter;Fighter,Tank;340;55;3
Kog'Maw;a végtelenség szája;Marksman;Marksman,Mage;517,76;57,46;2,41
LeBlanc;a megtévesztő;Assassin;Assassin,Mage;516;54,88;3,5
Lee Sin;a világtalan szerzetes;Fighter;Fighter,Assassin;570,8;61,176;3,2
Leona;a sugárzó hajnal;Tank;Tank,Support;576,16;60,04;3
Lissandra;a jégboszorkány;Mage;Mage;506,12;50,536;2,7
Lucian;a megtisztító;Marksman;Marksman;554,4;57,46;2,41
Lulu;a tündérboszorkány;Support;Support,Mage;552,76;46,368;2,6
Lux;a fény úrnője;Mage;Mage,Support;477,72;53,544;3,3
Malphite;a monolitszilánk;Tank;Tank,Fighter;574,2;61,97;3,375
Malzahar;az Üresség prófétája;Mage;Mage,Assassin;525;55;3
Maokai;a hatalmas ent;Tank;Tank,Mage;572,2;63,544;3,3
Master Yi;a wuju nagymester;Assassin;Assassin,Fighter;598,56;60,04;3
Miss Fortune;a fejvadász;Marksman;Marksman;530;46;1
Wukong;a majomkirály;Fighter;Fighter,Tank;577,8;59,876;3,2
Mordekaiser;a vaslidérc;Fighter;Fighter;525;61;5
Morgana;a bukott angyal;Mage;Mage,Support;547,48;55,46;3,5
Nami;a dagályhívó;Support;Support,Mage;489,32;51,208;3,1
Nasus;a homokdűnék őre;Fighter;Fighter,Tank;561,2;59,18;3,5
Nautilus;a mélység titánja;Tank;Tank,Fighter;576,48;57,544;3,3
Nidalee;a vadászó bestia;Assassin;Assassin,Fighter;511,2;53;3,5
Nocturne;az örök rémálom;Assassin;Assassin,Fighter;582,8;59,208;3,1
Nunu;a jetilovas;Support;Support,Fighter;598,28;59;4
Olaf;a rettenthetetlen viking;Fighter;Fighter,Tank;597,24;59,98;3,5
Orianna;az óraművek hölgye;Mage;Mage,Support;517,72;40,368;2,6
Pantheon;a háború mestere;Fighter;Fighter,Assassin;579,16;55,572;2,9
Poppy;a pöröly őrzője;Tank;Tank,Fighter;540;56;4
Quinn;Demacia szárnyai;Marksman;Marksman,Fighter;532,8;54,46;2,41
